Mr,L,P,R,T,rho,epsilon,kappa,del_ad,del_nabla,Shell
1.8335639963996398e+33,1.199734191433799e+34,3935866426670983.0,34292204021.580643,5998927.656516686,4.896985681547718,0.01630532210866844,9977000638.225464,0.3990100602528763,0.02527132687376995,Rad
1.8337032403240324e+33,1.1997344126034873e+34,3934898370018959.0,34294114205.941647,5998341.830416894,4.8962599628141765,0.016294091565466264,9977000638.225832,0.39901020270658394,0.02527306805802262,Rad
1.8338424842484248e+33,1.1997346336111984e+34,3933930461980266.0,34296024453.744827,5997756.007691027,4.895534284178102,0.016282867408472797,9977000638.225628,0.3990103451528509,0.02527480983708007,Rad
1.833981728172817e+33,1.1997348544570294e+34,3932962702515291.0,34297934765.044804,5997170.188312275,4.894808645625179,0.0162716496344013,9977000638.22575,0.39901048759168695,0.02527655221134975,Rad
1.83412097209721e+33,1.1997350751410767e+34,3931995091584447.0,34299845139.896202,5996584.372253843,4.8940830471411,0.01626043823996698,9977000638.225424,0.3990106300231018,0.0252782951812392,Rad
1.8342602160216023e+33,1.1997352956634373e+34,3931027629148172.0,34301755578.353626,5995998.559488947,4.893357488711553,0.016249233221887236,9977000638.225586,0.3990107724471054,0.025280038747155984,Rad
1.8343994599459946e+33,1.1997355160242077e+34,3930060315166914.0,34303666080.471725,5995412.74999081,4.892631970322219,0.016238034576881364,9977000638.225668,0.3990109148637073,0.0252817829095078,Rad
1.8345387038703872e+33,1.1997357362234847e+34,3929093149601135.0,34305576646.305138,5994826.943732667,4.891906491958766,0.016226842301670548,9977000638.225586,0.3990110572729176,0.02528352766870236,Rad
1.8346779477947795e+33,1.199735956261365e+34,3928126132411331.0,34307487275.9085,5994241.140687766,4.891181053606877,0.016215656392978332,9977000638.225342,0.39901119967474596,0.02528527302514751,Rad
1.834817191719172e+33,1.1997361761379447e+34,3927159263558003.0,34309397969.336475,5993655.340829358,4.890455655252215,0.016204476847529944,9977000638.22571,0.39901134206920214,0.025287018979251175,Rad
1.8349564356435645e+33,1.1997363958533208e+34,3926192543001675.0,34311308726.643726,5993069.544130715,4.889730296880445,0.01619330366205283,9977000638.225464,0.39901148445629603,0.025288765531421276,Rad
1.8350956795679568e+33,1.1997366154075896e+34,3925225970702894.0,34313219547.88491,5992483.750565109,4.88900497847723,0.016182136833276437,9977000638.225668,0.399011626836037,0.02529051268206595,Rad
1.835234923492349e+33,1.1997368348008474e+34,3924259546622219.0,34315130433.114708,5991897.960105831,4.888279700028224,0.01617097635793212,9977000638.225342,0.3990117692084355,0.02529226043159324,Rad
1.8353741674167417e+33,1.199737054033191e+34,3923293270720229.0,34317041382.38781,5991312.172726175,4.887554461519078,0.016159822232753297,9977000638.225586,0.39901191157350063,0.025294008780411433,Rad
1.835513411341134e+33,1.1997372731047167e+34,3922327142957527.0,34318952395.75889,5990726.388399452,4.886829262935444,0.01614867445447547,9977000638.225342,0.39901205393124256,0.025295757728928777,Rad
1.8356526552655264e+33,1.1997374920155206e+34,3921361163294730.0,34320863473.282646,5990140.607098979,4.886104104262964,0.016137533019836073,9977000638.22526,0.39901219628167084,0.025297507277553668,Rad
1.835791899189919e+33,1.1997377107656996e+34,3920395331692470.0,34322774615.0138,5989554.828798084,4.885378985487277,0.01612639792557452,9977000638.225668,0.3990123386247952,0.02529925742669454,Rad
1.8359311431143116e+33,1.1997379293553494e+34,3919429648111405.0,34324685821.007046,5988969.053470105,4.884653906594021,0.016115269168432304,9977000638.225382,0.399012480960625,0.025301008176759926,Rad
1.8360703870387036e+33,1.1997381477845666e+34,3918464112512213.0,34326597091.317093,5988383.281088397,4.883928867568831,0.016104146745152922,9977000638.225382,0.39901262328917064,0.025302759528158403,Rad
1.8362096309630962e+33,1.1997383660534471e+34,3917498724855577.0,34328508425.99869,5987797.511626314,4.883203868397327,0.016093030652481747,9977000638.225464,0.39901276561044136,0.025304511481298662,Rad
1.8363488748874888e+33,1.1997385841620875e+34,3916533485102215.0,34330419825.106556,5987211.745057229,4.882478909065141,0.016081920887166343,9977000638.225546,0.3990129079244471,0.025306264036589487,Rad
1.8364881188118812e+33,1.199738802110584e+34,3915568393212854.0,34332331288.695427,5986625.981354523,4.8817539895578905,0.01607081744595616,9977000638.225506,0.3990130502311972,0.025308017194439668,Rad
1.8366273627362735e+33,1.1997390198990322e+34,3914603449148243.0,34334242816.820053,5986040.220491587,4.881029109861192,0.016059720325602635,9977000638.225668,0.39901319253070167,0.025309770955258156,Rad
1.836766606660666e+33,1.1997392375275285e+34,3913638652869147.0,34336154409.53519,5985454.462441821,4.880304269960657,0.01604862952285923,9977000638.225832,0.3990133348229698,0.025311525319453937,Rad
1.8369058505850584e+33,1.1997394549961692e+34,3912674004336353.0,34338066066.89559,5984868.707178639,4.879579469841893,0.01603754503448147,9977000638.225506,0.39901347710801177,0.025313280287436058,Rad
1.8370450945094507e+33,1.19973967230505e+34,3911709503510664.0,34339977788.956028,5984282.954675464,4.8788547094905015,0.016026466857226723,9977000638.225668,0.3990136193858367,0.025315035859613665,Rad
1.8371843384338434e+33,1.199739889454267e+34,3910745150352902.0,34341889575.77128,5983697.204905726,4.878129988892089,0.016015394987854387,9977000638.22571,0.39901376165645436,0.025316792036396012,Rad
1.8373235823582357e+33,1.1997401064439162e+34,3909780944823911.0,34343801427.396114,5983111.45784287,4.877405308032249,0.016004329423126115,9977000638.225424,0.3990139039198747,0.025318548818192413,Rad
1.837462826282628e+33,1.1997403232740937e+34,3908816886884550.0,34345713343.88533,5982525.713460349,4.876680666896574,0.015993270159805055,9977000638.225382,0.3990140461761071,0.025320306205412247,Rad
1.8376020702070206e+33,1.1997405399448947e+34,3907852976495693.0,34347625325.29373,5981939.9717316255,4.875956065470649,0.015982217194656742,9977000638.22575,0.39901418842516095,0.025322064198464937,Rad
1.837741314131413e+33,1.1997407564564158e+34,3906889213618243.0,34349537371.6761,5981354.232630177,4.875231503740061,0.01597117052444866,9977000638.22579,0.3990143306670463,0.025323822797760055,Rad
1.8378805580558053e+33,1.1997409728087528e+34,3905925598213114.0,34351449483.08726,5980768.496129488,4.874506981690393,0.01596013014595008,9977000638.22571,0.3990144729017725,0.025325582003707218,Rad
1.838019801980198e+33,1.1997411890020008e+34,3904962130241238.0,34353361659.58203,5980182.762203051,4.873782499307217,0.015949096055932296,9977000638.225464,0.399014615129349,0.025327341816716118,Rad
